Namespace
Microsoft.Network
Microsoft.Maintenance
Microsoft.ContainerRegistry
Microsoft.AVS
Microsoft.Advisor
Microsoft.ContainerService
Microsoft.ManagedIdentity
Microsoft.Compute
Microsoft.OperationalInsights
microsoft.insights
Microsoft.Storage
Microsoft.PolicyInsights
Microsoft.ServiceNetworking
Microsoft.Security
Microsoft.KeyVault
Microsoft.DocumentDB
Microsoft.ManagedServices
Microsoft.Automation
Microsoft.Management
Microsoft.OperationsManagement
Microsoft.SecurityInsights
Microsoft.DBforMySQL
Microsoft.RecoveryServices
Microsoft.Diagnostics
Microsoft.Monitor
Microsoft.AlertsManagement
Microsoft.ResourceHealth
Microsoft.Help
Microsoft.GuestConfiguration
Microsoft.Authorization
Microsoft.Features
Microsoft.Portal
Microsoft.ResourceGraph
Microsoft.ResourceNotifications
Microsoft.Resources
microsoft.support
Microsoft.Dashboard
